SubjectInfo.age_at_birth,sex,SubjectInfo.language_list,subject_num,age,SubjectInfo.sessionNumber,fam_or_test,violation_type,fam_duration,Trials.ordinal,Looks.confidence,Trials.duration,exclude,Trials.excludeReason,LT,is_violation,block_num
39 weeks,m,en,27TGCX,183,1,test,number,fam9,1,0.8318672978825169,40.233,FALSE,NA,21.686,TRUE,1
38 weeks,f,en,2c2W2N,359,1,test,pose,fam8,1,0.6516792803880682,40.324,FALSE,NA,9.665999999999991,TRUE,1
38 weeks,f,en,2c2W2N,359,1,test,identity,fam9,3,0.643249404165181,40.268,FALSE,NA,12.802999999999995,TRUE,2
38 weeks,f,en,2c2W2N,359,1,test,background,fam8,5,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0,FALSE,3
38 weeks,f,en,2c2W2N,359,1,test,number,fam9,15,NA,40.203,FALSE,NA,40.203,TRUE,4
39 weeks,m,en,33FPcQ,380,1,test,pose,fam9,1,0.6602136774996864,40.206,FALSE,NA,14.017000000000015,TRUE,1
39 weeks,m,en,33FPcQ,380,1,test,background,fam9,3,0.6882208165195253,40.241,FALSE,NA,16.575999999999993,FALSE,2
39 weeks,m,en,33FPcQ,380,1,test,animacy,fam8,5,0.6457630466644455,40.114,FALSE,NA,12.938000000000002,TRUE,3
39 weeks,m,en,33FPcQ,380,1,test,number,fam8,7,0.4624215652096814,40.23,FALSE,NA,5.086999999999988,TRUE,4
39 weeks,f,en,3UXGEX,349,1,test,number,fam9,1,0.9392864104747364,40.191,FALSE,NA,15.483999999999998,TRUE,1
39 weeks,f,en,3UXGEX,349,1,test,animacy,fam9,3,0.6902773169916224,40.293,FALSE,NA,14.889999999999992,TRUE,2
39 weeks,f,en,3UXGEX,349,1,test,background,fam9,5,0.4037360669118043,40.214,FALSE,NA,18.893,FALSE,3
39 weeks,f,en,3UXGEX,349,1,test,identity,fam8,7,0.5868906877809923,40.158,FALSE,NA,9.445,TRUE,4
40 or more weeks,f,en es,454MSU,181,1,test,pose,fam8,1,0.7886284029486085,40.161,FALSE,NA,37.78,TRUE,1
40 or more weeks,f,en es,454MSU,181,1,test,background,fam8,3,0.7327319664570813,40.181,FALSE,NA,15.572,FALSE,2
40 or more weeks,f,en es,454MSU,181,1,test,animacy,fam8,5,0.7317691134079386,40.125,FALSE,NA,22.072,TRUE,3
40 or more weeks,f,en es,454MSU,181,1,test,identity,fam9,7,0.6835828918103011,40.201,FALSE,NA,31.248,TRUE,4
37 weeks,f,en,4VYE2S,278,1,test,number,fam8,1,0.7838508341720849,40.27,FALSE,NA,23.968000000000004,TRUE,1
37 weeks,f,en,4VYE2S,278,1,test,pose,fam8,3,0.7161663508751445,40.177,FALSE,NA,15.024,TRUE,2
37 weeks,f,en,4VYE2S,278,1,test,background,fam8,5,0.6820746631813019,40.174,FALSE,NA,16.705999999999992,FALSE,3
37 weeks,f,en,4VYE2S,278,1,test,identity,fam9,7,0.6861103337695199,40.199,FALSE,NA,5.136000000000003,TRUE,4
39 weeks,f,en,56cEN4,296,1,test,number,fam8,1,0.888853552967048,40.231,FALSE,NA,30.34,TRUE,1
39 weeks,f,en,56cEN4,296,1,test,animacy,fam9,3,0.3515755403055676,40.289,FALSE,NA,25.38,TRUE,2
39 weeks,f,en,56cEN4,296,1,test,background,fam8,5,0.5683697047924239,40.313,FALSE,NA,28.341,FALSE,3
39 weeks,f,en,56cEN4,296,1,test,identity,fam8,7,0.5361546159684658,40.3,FALSE,NA,11.239999999999991,TRUE,4
40 or more weeks,f,en cmn,5C6LDW,228,1,test,identity,fam8,1,0.8409203957782776,40.158,FALSE,NA,35.64400000000001,TRUE,1
40 or more weeks,f,en cmn,5C6LDW,228,1,test,animacy,fam9,3,0.7142828409338735,40.29,FALSE,NA,4.956000000000003,TRUE,2
40 or more weeks,f,en cmn,5C6LDW,228,1,test,background,fam9,5,0.6551908506569479,40.198,FALSE,NA,27.00500000000001,FALSE,3
40 or more weeks,f,en cmn,5C6LDW,228,1,test,pose,fam8,7,0.5478626630283013,40.154,FALSE,NA,24.753,TRUE,4
40 or more weeks,f,en,5L4WK2,319,1,test,background,fam9,1,0.6289641845793952,40.202,FALSE,NA,10.367999999999997,FALSE,1
40 or more weeks,f,en,5L4WK2,319,1,test,number,fam9,3,0.8484684499324726,40.192,FALSE,NA,24.034,TRUE,2
40 or more weeks,f,en,5L4WK2,319,1,test,identity,fam8,5,0.7530228801899487,40.165,FALSE,NA,7.530999999999995,TRUE,3
40 or more weeks,f,en,5L4WK2,319,1,test,pose,fam8,7,0.8688862883382374,40.161,FALSE,NA,2.333000000000002,TRUE,4
40 or more weeks,f,en de vi,5MDcFP,386,1,test,number,fam9,1,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.05,TRUE,1
40 or more weeks,f,en de vi,5MDcFP,386,1,test,background,fam9,5,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.05,FALSE,2
39 weeks,m,en,67BY2B,360,1,test,pose,fam9,1,0.7253652405524421,40.229,FALSE,NA,12.265999999999996,TRUE,1
