experiment,subject_num,fam_duration,age,sex,SubjectInfo.sessionNumber,fam_or_test,test_type,animal,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,block_num,exclude,is_violation
7,PKBB_01,8,284,F,1,test,background,5,1,0.733592470185825,9.217,False,,4.871,1,FALSE,FALSE
7,PKBB_01,9,284,F,1,test,animacy,6,3,0.570683161967443,26.976,False,,25.858,2,FALSE,TRUE
7,PKBB_02,8,225,M,1,test,animacy,1,1,0.7971761168600874,60,False,,30.513,1,FALSE,TRUE
7,PKBB_02,8,225,M,1,test,pose,2,5,0.7629370311435361,44.557,False,,14.338000000000005,3,FALSE,TRUE
7,PKBB_02,9,225,M,1,test,background,3,7,0.6629187455865181,15.885,False,,4.0790000000000015,4,FALSE,FALSE
7,PKBB_04,8,219,F,1,test,background,4,5,0.7002064319914156,60,False,,14.567,3,FALSE,FALSE
7,PKBB_04,9,219,F,1,test,animacy,3,1,0.8905176781328072,18.321,False,,10.353000000000002,1,FALSE,TRUE
7,PKBB_04,9,219,F,1,test,identity,5,3,0.6746827705967744,24.66800000000001,False,,21.47900000000001,2,FALSE,TRUE
7,PKBB_05,8,277,F,1,test,identity,2,1,0.7486850316660052,53.972,False,,52.453,1,FALSE,TRUE
7,PKBB_05,8,277,F,1,test,pose,1,7,0.722840017557874,22.32,False,,10.442999999999998,4,FALSE,TRUE
7,PKBB_05,9,277,F,1,test,background,5,3,0.7756058916166175,25.452,False,,25.452,2,FALSE,FALSE
7,PKBB_05,9,277,F,1,test,animacy,3,5,0.7870017065979495,58.054,False,,43.18899999999997,3,FALSE,TRUE
7,PKBB_06,8,303,F,1,test,pose,5,3,0.2287675506031973,51.553,False,,8.494,2,FALSE,TRUE
7,PKBB_06,9,303,F,1,test,number,3,5,0.24724723522518743,47.665,False,,27.14899999999999,3,FALSE,TRUE
7,PKBB_07,8,259,M,1,test,number,4,3,0.9025812928493206,9.673,False,,9.075,2,FALSE,TRUE
7,PKBB_07,8,259,M,1,test,animacy,2,7,0.6401266537615714,27.101,False,,3.616,4,FALSE,TRUE
7,PKBB_07,9,259,M,1,test,pose,6,1,0.6723110626141229,8.228,False,,4.271,1,FALSE,TRUE
7,PKBB_07,9,259,M,1,test,background,5,5,0.8159247602025668,12.172,False,,3.5560000000000014,3,FALSE,FALSE
7,PKBB_08,8,280,F,1,test,animacy,6,5,0.9021917310531372,25.657,False,,24.381,3,FALSE,TRUE
7,PKBB_08,9,280,F,1,test,background,3,3,0.7367395979991848,51.495,False,,5.527000000000001,2,FALSE,FALSE
7,PKBB_08,9,280,F,1,test,identity,5,7,0.8199270287270338,60,False,,55.324,4,FALSE,TRUE
7,PKBB_09,8,270,F,1,test,pose,6,5,0.8054906698759474,21.221,False,,6.053999999999999,3,FALSE,TRUE
7,PKBB_09,8,270,F,1,test,animacy,1,7,0.6169619756864536,38.075,False,,15.093000000000004,4,FALSE,TRUE
7,PKBB_09,9,270,F,1,test,identity,5,3,0.7351259264272519,39.911,False,,17.553,2,FALSE,TRUE
7,PKBB_10,8,244,M,1,test,pose,2,1,0.9049131486039136,20.877,False,,2.840999999999997,1,FALSE,TRUE
7,PKBB_10,9,244,M,1,test,animacy,3,3,0.9537879263049782,43.526,False,,4.513000000000004,2,FALSE,TRUE
7,PKBB_10,9,244,M,1,test,background,4,7,0.762823064163676,37.561,False,,3.183999999999997,4,FALSE,FALSE
7,PKBB_11,8,280,M,1,test,background,6,5,NA,11.084,False,,11.084,3,FALSE,FALSE
7,PKBB_11,8,280,M,1,test,identity,1,7,NA,8.515,False,,8.515,4,FALSE,TRUE
7,PKBB_11,9,280,M,1,test,number,4,1,NA,59.731,False,,59.731,1,FALSE,TRUE
7,PKBB_11,9,280,M,1,test,pose,5,3,NA,5.4,False,,5.4,2,FALSE,TRUE
7,PKBB_12,8,316,F,1,test,background,3,5,0.6623137299066935,16.707,False,,15.255999999999998,3,FALSE,FALSE
7,PKBB_12,8,316,F,1,test,number,1,7,0.4940061857046358,38.772,False,,7.0479999999999965,4,FALSE,TRUE
7,PKBB_12,9,316,F,1,test,identity,2,1,0.7268737154757867,60,False,,3.75,1,FALSE,TRUE
