prolific_id,tt,y,block_type,block_id,background_stimulus,deviant_stimulus,x,exposure_duration,group,...1,subject_num,experiment,fam_or_test,unique_id,animal,block_num,exclude,age,sex,subj_id
545d347afdf99b7f9fca22c7,Familiar,2.978,background_block,0,media/padded_stims/animate_024_right.png,NA,1,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.329,background_block,0,media/padded_stims/animate_024_right.png,NA,2,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.244,background_block,0,media/padded_stims/animate_024_right.png,NA,3,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.161,background_block,0,media/padded_stims/animate_024_right.png,NA,4,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.285,background_block,0,media/padded_stims/animate_024_right.png,NA,5,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.94,background_block,0,media/padded_stims/animate_024_right.png,NA,6,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.043,background_block,0,media/padded_stims/animate_024_right.png,NA,7,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.034,background_block,0,media/padded_stims/animate_024_right.png,NA,8,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.884,background_block,0,media/padded_stims/animate_024_right.png,NA,9,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.348,background_block,0,media/padded_stims/animate_024_right.png,NA,10,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.965,background_block,0,media/padded_stims/animate_024_right.png,NA,11,10,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.957,background_block,1,media/padded_stims/animate_022_left.png,NA,1,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.997,background_block,1,media/padded_stims/animate_022_left.png,NA,2,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.16,background_block,1,media/padded_stims/animate_022_left.png,NA,3,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.502,background_block,1,media/padded_stims/animate_022_left.png,NA,4,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.089,background_block,1,media/padded_stims/animate_022_left.png,NA,5,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.49,deviant_block,2,media/padded_stims/animate_025_right.png,media/padded_stims/animate_009_right.png,1,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.463,deviant_block,2,media/padded_stims/animate_025_right.png,media/padded_stims/animate_009_right.png,2,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.601,deviant_block,2,media/padded_stims/animate_025_right.png,media/padded_stims/animate_009_right.png,3,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.813,deviant_block,2,media/padded_stims/animate_025_right.png,media/padded_stims/animate_009_right.png,4,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Novel,2.92,deviant_block,2,media/padded_stims/animate_025_right.png,media/padded_stims/animate_009_right.png,5,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.918,deviant_block,3,media/padded_stims/animate_014_left.png,media/padded_stims/animate_007_left.png,1,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.314,deviant_block,3,media/padded_stims/animate_014_left.png,media/padded_stims/animate_007_left.png,2,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.465,deviant_block,3,media/padded_stims/animate_014_left.png,media/padded_stims/animate_007_left.png,3,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.777,deviant_block,3,media/padded_stims/animate_014_left.png,media/padded_stims/animate_007_left.png,4,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.992,deviant_block,3,media/padded_stims/animate_014_left.png,media/padded_stims/animate_007_left.png,5,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.774,deviant_block,3,media/padded_stims/animate_014_left.png,media/padded_stims/animate_007_left.png,6,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.879,deviant_block,3,media/padded_stims/animate_014_left.png,media/padded_stims/animate_007_left.png,7,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Novel,3.532,deviant_block,3,media/padded_stims/animate_014_left.png,media/padded_stims/animate_007_left.png,8,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.763,background_block,4,media/padded_stims/animate_015_right.png,NA,1,5,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.355,background_block,4,media/padded_stims/animate_015_right.png,NA,2,5,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.864,background_block,4,media/padded_stims/animate_015_right.png,NA,3,5,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.914,background_block,4,media/padded_stims/animate_015_right.png,NA,4,5,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.166,background_block,4,media/padded_stims/animate_015_right.png,NA,5,5,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.4,background_block,4,media/padded_stims/animate_015_right.png,NA,6,5,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.684,deviant_block,5,media/padded_stims/animate_019_left.png,media/padded_stims/animate_005_left.png,1,6,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.061,deviant_block,5,media/padded_stims/animate_019_left.png,media/padded_stims/animate_005_left.png,2,6,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.908,deviant_block,5,media/padded_stims/animate_019_left.png,media/padded_stims/animate_005_left.png,3,6,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.264,deviant_block,5,media/padded_stims/animate_019_left.png,media/padded_stims/animate_005_left.png,4,6,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.982,deviant_block,5,media/padded_stims/animate_019_left.png,media/padded_stims/animate_005_left.png,5,6,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.671,deviant_block,5,media/padded_stims/animate_019_left.png,media/padded_stims/animate_005_left.png,6,6,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Novel,3.714,deviant_block,5,media/padded_stims/animate_019_left.png,media/padded_stims/animate_005_left.png,7,6,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.669,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,1,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.956,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,2,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.636,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,3,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.91,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,4,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.182,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,5,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,1.979,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,6,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.832,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,7,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.112,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,8,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.839,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,9,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Novel,2.498,deviant_block,6,media/padded_stims/animate_006_left.png,media/padded_stims/animate_004_left.png,10,9,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.986,deviant_block,7,media/padded_stims/animate_016_left.png,media/padded_stims/animate_002_left.png,1,1,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Novel,3.243,deviant_block,7,media/padded_stims/animate_016_left.png,media/padded_stims/animate_002_left.png,2,1,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.556,deviant_block,8,media/padded_stims/animate_003_right.png,media/padded_stims/animate_017_right.png,1,1,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Novel,3.127,deviant_block,8,media/padded_stims/animate_003_right.png,media/padded_stims/animate_017_right.png,2,1,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.981,deviant_block,9,media/padded_stims/animate_008_right.png,media/padded_stims/animate_020_right.png,1,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.111,deviant_block,9,media/padded_stims/animate_008_right.png,media/padded_stims/animate_020_right.png,2,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.029,deviant_block,9,media/padded_stims/animate_008_right.png,media/padded_stims/animate_020_right.png,3,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.037,deviant_block,9,media/padded_stims/animate_008_right.png,media/padded_stims/animate_020_right.png,4,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Novel,2.889,deviant_block,9,media/padded_stims/animate_008_right.png,media/padded_stims/animate_020_right.png,5,4,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,3.063,deviant_block,10,media/padded_stims/animate_013_right.png,media/padded_stims/animate_023_right.png,1,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545d347afdf99b7f9fca22c7,Familiar,2.047,deviant_block,10,media/padded_stims/animate_013_right.png,media/padded_stims/animate_023_right.png,2,7,Adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
