trial_type,trial_number,value_type,LT,lb_lt,ub_lt
animacy,2,Adult Behavior,2667.2724137931036,2461.4803006982033,2873.064526888004
animacy,2,RANCH,2603.7548395401363,2480.247858499049,2727.261820581224
animacy,4,Adult Behavior,2606.312893081761,2436.3221830010616,2776.3036031624606
animacy,4,RANCH,2419.2295542929464,2300.8445539340955,2537.614554651798
animacy,6,Adult Behavior,2805.443251533742,2604.088841704072,3006.7976613634123
animacy,6,RANCH,2407.7849104330953,2293.546006073022,2522.0238147931686
fam,1,Adult Behavior,2988.207520143241,2940.948321951337,3035.4667183351444
fam,1,RANCH,3084.0152963816427,2932.735694064,3235.294898699286
fam,2,Adult Behavior,2157.3938139588363,2115.0858834372534,2199.701744480419
fam,2,RANCH,2327.75791756502,2231.7523255850642,2423.763509544976
fam,3,Adult Behavior,2048.7469782433523,2005.6993672934939,2091.7945891932104
fam,3,RANCH,2153.4891045590225,2080.8858327152648,2226.0923764027807
fam,4,Adult Behavior,2005.5116046418568,1953.7873924927853,2057.2358167909283
fam,4,RANCH,2075.4721693153156,2011.7813764277382,2139.1629622028927
fam,5,Adult Behavior,2005.0362666666667,1944.142975323816,2065.9295580095177
fam,5,RANCH,2041.5563069178568,1980.9519067308704,2102.1607071048434
fam,6,Adult Behavior,1952.2455858747994,1859.8348364907852,2044.6563352588137
fam,6,RANCH,2006.490754269637,1954.661897418666,2058.3196111206075
identity,2,Adult Behavior,2515.698484848485,2360.0694822183486,2671.327487478621
identity,2,RANCH,2545.6432232289285,2421.4158115490845,2669.8706349087724
identity,4,Adult Behavior,2516.8923327895595,2363.7493890997625,2670.0352764793565
identity,4,RANCH,2403.0816321345264,2290.474107761666,2515.689156507387
identity,6,Adult Behavior,2431.1767676767677,2272.6203157641075,2589.733219589428
identity,6,RANCH,2233.0319923173765,2142.2284666210735,2323.835518013679
number,2,Adult Behavior,2194.662440570523,2045.2542651531232,2344.070615987923
number,2,RANCH,2419.1772956451846,2313.390295697952,2524.964295592417
number,4,Adult Behavior,2137.082781456954,1967.2557320416174,2306.90983087229
number,4,RANCH,2274.838910526879,2176.742854827931,2372.9349662258264
number,6,Adult Behavior,2022.2906793048974,1888.0650236511694,2156.5163349586255
number,6,RANCH,2162.4828178388416,2077.703518771496,2247.262116906187
pose,2,Adult Behavior,2208.5968992248063,2061.467729191049,2355.7260692585637
pose,2,RANCH,2310.6883428915266,2222.9865554030266,2398.3901303800267
pose,4,Adult Behavior,2102.8810720268007,1948.3999294451228,2257.3622146084786
pose,4,RANCH,2112.1054813963915,2037.8819516627082,2186.3290111300753
pose,6,Adult Behavior,2288.4783306581057,2115.72114733913,2461.2355139770816
pose,6,RANCH,2073.3295647570785,2007.350137232309,2139.3089922818476
