trial_type,count,sd_lt,value_type,LT,ub_lt,lb_lt
animacy,70,13.49725820390872,Infant Behavior,21.56161428571429,23.142580582697025,19.980647988731555
animacy,70,13.49725820390872,RANCH,21.272657978025485,22.375670424618797,20.169645531432177
familiar,90,11.73194229869356,Infant Behavior,16.16188888888889,17.373811084245965,14.949966693531811
familiar,90,11.73194229869356,RANCH,16.812733665291237,17.62072145155757,16.004745879024906
identity,70,12.435329027307292,Infant Behavior,18.003800000000002,19.460379979952563,16.54722002004744
identity,70,12.435329027307292,RANCH,19.93815121610096,20.989418976682515,18.886883455519403
number,76,14.034863699911297,Infant Behavior,21.19578947368421,22.773500565873555,19.61807838149487
number,76,14.034863699911297,RANCH,19.34001764635853,20.294720974815263,18.385314317901795
pose,76,13.484193684452348,Infant Behavior,17.405013157894736,18.920821390882736,15.889204924906736
pose,76,13.484193684452348,RANCH,16.964545200172378,17.793789823498333,16.135300576846426
